省份,2011,2012,2013,2014,2015,2016,2017,2018,2019
港澳台联招,0,617,667,647,630,652,0,678,684
新疆,670,642,664,663,663,683,665,679,669
宁夏,647,621,644,662,650,669,654,667,655
西藏,634,633,659,687,700,685,679,690,711
广西,657,670,655,680,669,674,659,684,697
内蒙古,659,658,663,677,674,687,678,686,683
青海,611,633,620,649,640,658,634,637,653
甘肃,645,657,646,660,653,671,659,674,670
陕西,689,687,681,692,691,701,697,696,697
云南,657,662,677,693,695,698,690,703,709
贵州,634,664,645,677,671,684,669,684,682
四川,649,647,680,660,664,689,687,687,705
海南,858,858,852,861,877,876,873,870,876
广东,666,684,681,676,687,671,668,680,679
湖南,685,661,657,680,689,675,675,693,674
湖北,681,668,663,675,679,689,678,690,683
河南,681,668,654,685,680,685,673,688,685
山东,683,697,692,701,698,698,684,688,684
江西,659,674,663,674,685,677,672,688,680
福建,688,676,663,674,681,668,649,684,673
安徽,670,673,641,646,689,682,670,691,681
浙江,697,721,731,734,737,733,698,700,707
江苏,405,409,404,404,407,419,413,413,421
黑龙江,684,669,683,690,682,683,678,679,685
吉林,684,670,686,697,690,690,689,693,686
辽宁,678,674,680,683,682,686,682,688,683
山西,662,654,630,669,662,672,646,675,666
河北,691,689,678,702,702,706,691,704,692
重庆,670,679,663,670,699,702,691,694,694
上海,565,528,519,533,528,537,603,610,615
天津,677,698,682,686,686,689,685,693,698
北京,651,656,691,682,694,680,671,685,681
